Department,7/1/2024,7/8/2024,7/15/2024,7/22/2024,7/29/2024,8/5/2024,8/12/2024,8/19/2024,8/26/2024,9/2/2024,9/9/2024,9/16/2024,9/23/2024,10/21/2024,10/28/2024,11/4/2024,11/11/2024,11/18/2024,11/25/2024,12/2/2024,12/9/2024,12/16/2024,12/23/2024,12/30/2024,1/6/2025,1/13/2025,1/20/2025,1/27/2025,2/3/2025,2/10/2025,2/17/2025,2/24/2025,3/3/2025,3/10/2025,3/17/2025,3/24/2025,3/31/2025,4/7/2025,4/14/2025,4/21/2025,4/28/2025,5/5/2025,5/12/2025,5/19/2025,5/26/2025,6/2/2025,6/9/2025,6/16/2025,6/23/2025,6/30/2025,7/7/2025,7/21/2025,7/28/2025,8/4/2025,8/11/2025,8/18/2025,8/25/2025,9/1/2025,9/8/2025,9/15/2025,9/22/2025,9/29/2025,10/6/2025,10/13/2025,10/20/2025,10/27/2025
Accountancy,25,22,17,17,18,12,4,6,45,172,171,243,137,136,204,206,198,212,174,3,179,169,72,1,0,1,10,158,220,234,185,198,212,196,194,5,200,189,211,195,197,210,201,107,16,13,9,11,13,16,14,16,19,13,12,9,53,173,217,259,266,231,218,236,249,200
Advertising,4,1,4,2,2,0,3,2,36,88,180,190,156,164,257,235,251,243,224,5,246,145,43,2,2,1,2,109,144,184,260,257,300,274,253,1,219,247,276,232,209,208,155,66,6,4,3,2,3,0,3,5,1,2,1,3,41,148,172,229,304,278,290,320,270,282
Aerospace Engineering,12,13,7,10,5,5,5,7,59,90,103,104,53,70,102,100,98,110,79,2,87,72,58,2,1,2,2,51,97,103,82,90,107,95,77,2,89,91,93,93,105,251,98,72,10,7,7,10,4,7,11,20,8,3,6,3,103,133,120,146,180,193,183,186,116,104
African American Studies,1,0,0,0,0,0,0,1,2,1,1,2,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,1,1,0,3,3,0,1,1,0,2,2,2,4,6,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,3,3
Ag Ldrshp Educ Comm Program,1,1,3,1,1,1,1,1,4,5,11,14,4,13,20,14,14,10,17,2,11,7,2,0,2,1,2,17,15,18,18,17,20,19,10,1,7,14,9,18,6,9,8,4,0,1,0,1,1,1,3,4,1,0,1,0,7,4,3,12,5,7,7,9,3,6
Agr & Consumer Economics,5,6,4,3,3,1,2,5,26,80,79,96,47,62,97,90,105,91,76,2,87,84,37,3,3,1,5,57,89,80,74,78,96,89,106,4,87,85,76,93,99,97,96,52,6,5,4,5,2,4,3,4,4,0,1,3,45,106,122,140,134,126,118,123,126,111
"Agr, Consumer, & Env Sci Admn",0,0,1,0,0,0,0,0,12,15,14,21,12,18,27,20,24,27,23,1,22,23,6,0,0,0,2,10,14,14,8,11,14,16,15,0,14,19,18,16,18,16,10,8,1,0,0,0,0,1,0,0,0,0,1,0,16,29,22,25,24,24,19,25,18,20
"Agr, Consumer, & Env Sciences",0,0,0,0,0,0,0,0,5,4,5,4,3,3,5,5,4,5,4,1,4,3,2,0,0,0,0,2,5,3,2,5,4,5,5,0,2,4,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,3,2,0,0
Agricultural & Biological Engr,3,0,2,2,0,1,1,1,15,33,31,35,24,25,43,47,38,38,27,0,36,34,17,0,0,0,0,22,29,40,27,28,34,33,19,0,25,23,26,30,31,37,37,18,1,1,2,1,1,1,0,1,1,1,0,0,15,40,38,35,31,33,30,31,36,26
Animal Sciences,4,5,2,2,3,2,1,1,33,50,37,55,24,38,69,61,52,55,56,0,56,46,22,0,1,0,5,37,43,38,49,55,78,52,59,1,50,58,50,60,62,65,77,38,6,2,2,4,5,4,4,2,2,1,3,3,68,82,74,80,71,81,65,69,78,61
