Department,CollegeCode,CollegeName
Accountancy,BUS,Gies College of Business
Advertising,MDIA,College of Media
Aerospace Engineering,ENGR,Grainger College of Engineering
African American Studies,LAS,College of Liberal Arts & Sciences
Ag Ldrshp Educ Comm Program,ACES,"College of Agricultural, Consumer & Environmental Sciences"
Agr & Consumer Economics,ACES,"College of Agricultural, Consumer & Environmental Sciences"
"Agr, Consumer, & Env Sci Admn",ACES,"College of Agricultural, Consumer & Environmental Sciences"
"Agr, Consumer, & Env Sciences",ACES,"College of Agricultural, Consumer & Environmental Sciences"
Agricultural & Biological Engr,ENGR,Grainger College of Engineering
Animal Sciences,ACES,"College of Agricultural, Consumer & Environmental Sciences"
Anthropology,LAS,College of Liberal Arts & Sciences
Applied Health Sci Courses,AHS,College of Applied Health Sciences
Applied Health Sciences Admin,AHS,College of Applied Health Sciences
Architecture,FAA,College of Fine & Applied Arts
Art & Design,FAA,College of Fine & Applied Arts
Asian American Studies,LAS,College of Liberal Arts & Sciences
Astronomy,LAS,College of Liberal Arts & Sciences
Biochemistry,LAS,College of Liberal Arts & Sciences
Bioengineering,ENGR,Grainger College of Engineering
Business Administration,BUS,Gies College of Business
Carle Illinois COM Pgm & Crse,CI MED,Carle Illinois College of Medicine
Cell & Developmental Biology,LAS,College of Liberal Arts & Sciences
Center Innov in Teach Learn,ADMIN,Campus Administration / Non-College Unit
Center for African Studies,LAS,College of Liberal Arts & Sciences
Chemical & Biomolecular Engr,ENGR,Grainger College of Engineering
Chemistry,LAS,College of Liberal Arts & Sciences
Civil & Environmental Eng,ENGR,Grainger College of Engineering
Classics,LAS,College of Liberal Arts & Sciences
Climate Meteorology & Atm Sci,LAS,College of Liberal Arts & Sciences
College of Business,BUS,Gies College of Business
College of Media Admin,MDIA,College of Media
Communication,LAS,College of Liberal Arts & Sciences
Comparative & World Literature,LAS,College of Liberal Arts & Sciences
Comparative Biosciences,VETMED,College of Veterinary Medicine
Crop Sciences,ACES,"College of Agricultural, Consumer & Environmental Sciences"
Curriculum and Instruction,EDUC,College of Education
Dance,FAA,College of Fine & Applied Arts
Div Exploratory Studies Admin,ADMIN,Campus Administration / Non-College Unit
Div General Studies Admin,ADMIN,Campus Administration / Non-College Unit
E. Asian Languages & Cultures,LAS,College of Liberal Arts & Sciences
Earth Sci & Environmental Chng,LAS,College of Liberal Arts & Sciences
Economics,LAS,College of Liberal Arts & Sciences
"Educ Policy, Orgzn & Leadrshp",EDUC,College of Education
Education Administration,EDUC,College of Education
Educational Psychology,EDUC,College of Education
Electrical & Computer Eng,ENGR,Grainger College of Engineering
Engineering Administration,ENGR,Grainger College of Engineering
Engineering Courses,ENGR,Grainger College of Engineering
English,LAS,College of Liberal Arts & Sciences
Entomology,LAS,College of Liberal Arts & Sciences
Evolution Ecology Behavior,LAS,College of Liberal Arts & Sciences
Finance,BUS,Gies College of Business
Fine & Applied Arts Admin,FAA,College of Fine & Applied Arts
Fine & Applied Arts Courses,FAA,College of Fine & Applied Arts
Food Science & Human Nutrition,ACES,"College of Agricultural, Consumer & Environmental Sciences"
French and Italian,LAS,College of Liberal Arts & Sciences
Gender and Women's Studies,LAS,College of Liberal Arts & Sciences
Geography & GIS,LAS,College of Liberal Arts & Sciences
Germanic Languages & Lit,LAS,College of Liberal Arts & Sciences
Global Studies Prog & Courses,LAS,College of Liberal Arts & Sciences
Graduate Admin,GRAD,Graduate College
Health and Kinesiology,AHS,College of Applied Health Sciences
History,LAS,College of Liberal Arts & Sciences
Human Dvlpmt & Family Studies,ACES,"College of Agricultural, Consumer & Environmental Sciences"
Illinois Informatics Institute,ADMIN,Campus Administration / Non-College Unit
Industrial&Enterprise Sys Eng,ENGR,Grainger College of Engineering
Information Sciences,IS,School of Information Sciences
Inst of Communications Rsch,MDIA,College of Media
